288 156
5363 2916
1	2	3	-1
2	2	3	-1
3	2	3	-1
4	2	3	-1
5	2	3	-1
6	2	3	-1
7	2	3	-1
8	2	3	-1
9	2	3	-1
10	2	3	-1
11	2	3	-1
12	2	3	-1
13	2	3	-1
14	2	3	-1
15	2020 595 0
16	2	3	-1
17	2	3	-1
18	2	3	-1
19	2	3	-1
20	2	3	-1
21	2	3	-1
22	2	3	-1
23	2	3	-1
24	2	3	-1
25	2	3	-1
26	2	3	-1
27	2	3	-1
28	3326 625 0
29	2	3	-1
30	2	3	-1
31	2	3	-1
32	2	3	-1
33	2	3	-1
34	1921 1199 0
35	2	3	-1
36	2	3	-1
37	2	3	-1
38	2	3	-1
39	2474 380 0
40	2	3	-1
41	2	3	-1
42	2	3	-1
43	2	3	-1
44	2	3	-1
45	2	3	-1
46	2	3	-1
47	2	3	-1
48	2	3	-1
49	2	3	-1
50	2694 2504 0
51	2	3	-1
52	2	3	-1
53	2	3	-1
54	2	3	-1
55	2	3	-1
56	2	3	-1
57	2	3	-1
58	2	3	-1
59	2	3	-1
60	2	3	-1
61	2	3	-1
62	2	3	-1
63	2	3	-1
64	2	3	-1
65	2	3	-1
66	2	3	-1
67	2	3	-1
68	2	3	-1
69	2	3	-1
70	2	3	-1
71	2	3	-1
72	2	3	-1
73	2	3	-1
74	2	3	-1
75	2591 1396 0
76	2	3	-1
77	2	3	-1
78	2	3	-1
79	2	3	-1
80	2	3	-1
81	2	3	-1
82	2	3	-1
83	2	3	-1
84	2	3	-1
85	2	3	-1
86	2	3	-1
87	4800 1199 0
88	2	3	-1
89	2	3	-1
90	2	3	-1
91	2	3	-1
92	2	3	-1
93	2	3	-1
94	2	3	-1
95	2	3	-1
96	2	3	-1
97	2	3	-1
98	1352 863 0 
99	2	3	-1
100	3396 685 0
101	2	3	-1
102	279 1068 0
103	2	3	-1
104	2	3	-1
105	2870 400 0
106	2	3	-1
107	2	3	-1
108	2	3	-1
109	2	3	-1
110	2	3	-1
111	2	3	-1
112	2	3	-1
113	2	3	-1
114	2	3	-1
115	2	3	-1
116	2	3	-1
117	0   0   -1
118	2	3	-1
119	2	3	-1
120	2	3	-1
121	2	3	-1
122	2	3	-1
123	1479 2098 0
124	2	3	-1
125	2	3	-1
126	2	3	-1
127	2	3	-1
128	2	3	-1
129	1230 1582 0
130	2	3	-1
131	2	3	-1
132	2	3	-1
133	2	3	-1
134	2	3	-1
135	2	3	-1
136	2	3	-1
137	2	3	-1
138	2	3	-1
139	2	3	-1
140	3451 387 0
141	2	3	-1
142	2	3	-1
143	2	3	-1
144	2	3	-1
145	2	3	-1
146	2	3	-1
147	2	3	-1
148	2	3	-1
149	2	3	-1
150	2	3	-1
151	2	3	-1
152	2	3	-1
153	2	3	-1
154	2	3	-1
155	2065 2277 0
156	0   0   -1
157	2	3	-1
158	2	3	-1
159	2	3	-1
160	2	3	-1
161	2	3	-1
162	0   0   -1
163	2	3	-1
164	2	3	-1
165	3444 1199 0
166	2	3	-1
167	2	3	-1
168	0   0   -1
169	2	3	-1
170	2	3	-1
171	5086 1068 0
172	2	3	-1
173	2	3	-1
174	2	3	-1
175	2	3	-1
176	2	3	-1
177	2	3	-1
178	2	3	-1
179	2	3	-1
180	4460 1333 0
181	2	3	-1
182	2	3	-1
183	2	3	-1
184	2	3	-1
185	2	3	-1
186	2	3	-1
187	2	3	-1
188	2	3	-1
189	2	3	-1
190	2	3	-1
191	2	3	-1
192	2	3	-1
193	2	3	-1
194	2	3	-1
195	2	3	-1
196	1767 1918 0
197	2	3	-1
198	2	3	-1
199	2	3	-1
200	2	3	-1
201	2	3	-1
202	2	3	-1
203	2	3	-1
204	2	3	-1
205	2	3	-1
206	2	3	-1
207	2773 1397 0
208	2	3	-1
209	2	3	-1
210	 0  0   -1
211	2	3	-1
212	2	3	-1
213	2	3	-1
214	2	3	-1
215	2	3	-1
216	2	3	-1
217	2	3	-1
218	2	3	-1
219	2 1002 0
220	2	3	-1
221	0   0   -1
222	2	3	-1
223	2	3	-1
224	2	3	-1
225	3036 514 0
226	2	3	-1
227	2	3	-1
228	2	3	-1
229	2	3	-1
230	2	3	-1
231	0   0   -1
232	2	3	-1
233	2	3	-1
234	2	3	-1
235	2	3	-1
236	2	3	-1
237	2	3	-1
238	2	3	-1
239	2	3	-1
240	2974 178 0
241	2	3	-1
242	2	3	-1
243	2	3	-1
244	2	3	-1
245	2	3	-1
246	2	3	-1
247	2	3	-1
248	2	3	-1
249	2	3	-1
250	2261 286 0 
251	2	3	-1
252	2	3	-1
253	2	3	-1
254	2	3	-1
255	2	3	-1
256	2	3	-1
257	2	3	-1
258	2	3	-1
259	2177 2707 0
260	2	3	-1
261	2	3	-1
262	2	3	-1
263	2	3	-1
264	2	3	-1
265	2	3	-1
266	2	3	-1
267	2	3	-1
268	2	3	-1
269	2	3	-1
270	2682 2295 0
271	2	3	-1
272	2	3	-1
273	2	3	-1
274	2	3	-1
275	2	3	-1
276	2	3	-1
277	2	3	-1
278	2	3	-1
279	0   0   -1
280	3319 1333 0
281	2	3	-1
282	2	3	-1
283	2	3	-1
284	2	3	-1
285	0   0   -1
286	2	3	-1
287	2	3	-1
288	2	3	-1
289	2	3	-1
290	1940 774 0
291	2	3	-1
292	2	3	-1
293	2	3	-1
294	2551 2812 0
295	2	3	-1
296	2	3	-1
297	2	3	-1
298	2	3	-1
299	2	3	-1
300	2557 297 0
301	2	3	-1
302	2	3	-1
303	2	3	-1
304	2	3	-1
305	2	3	-1
306	2	3	-1
307	2	3	-1
308	2754 2662 0
309	2045 1333 0
310	2	3	-1
311	2	3	-1
312	2	3	-1
313	2	3	-1
314	2	3	-1
315	2	3	-1
316	2	3	-1
317	2	3	-1
318	2	3	-1
319	2	3	-1
320	2	3	-1
321	4012    863 0
322	2	3	-1
323	2	3	-1
324	2	3	-1
325	2	3	-1
326	2	3	-1
327	3783 2236 0
328	2	3	-1
329	2	3	-1
330	2	3	-1
331	2	3	-1
332	2	3	-1
333	2	3	-1
334	2	3	-1
335	0   0   -1
336	0   0   -1
337	2	3	-1
338	2	3	-1
339	2	3	-1
340	2	3	-1
341	2	3	-1
342	0   0   -1
343	2	3	-1
344	2	3	-1
345	2	3	-1
346	2	3	-1
347	2	3	-1
348	2	3	-1
349	2	3	-1
350	2	3	-1
351	2	3	-1
352	2	3	-1
353	2	3	-1
354	2	3	-1
355	2	3	-1
356	2	3	-1
357	0 0     -1
358	2	3	-1
359	2	3	-1
360	0   0   -1
361	2	3	-1
362	2	3	-1
363	2	3	-1
364	2	3	-1
365	2	3	-1
366	2	3	-1
367	2	3	-1
368	2	3	-1
369	2	3	-1
370	2	3	-1
